source	target	Weight
otu_230	otu_536	0.883499355690973
otu_198	otu_723	0.873595721572001
otu_317	otu_382	0.857808318279427
otu_603	otu_645	0.822666221997053
otu_119	otu_814	0.819811351673092
otu_330	otu_826	0.816769779267626
otu_589	otu_898	0.810850929172056
otu_135	otu_188	0.809375854163804
otu_327	otu_518	0.80632563191603
otu_406	otu_762	0.805547836768663
otu_681	otu_765	0.804468571310983
otu_12	otu_863	0.80219421091274
otu_741	otu_789	0.799953753805875
otu_121	otu_719	0.795608044595973
otu_53	otu_818	0.792098335742048
otu_532	otu_69	0.791230094261393
otu_523	otu_884	0.789753577139114
otu_19	otu_55	0.785212949034396
otu_118	otu_734	0.784842147206157
otu_718	otu_883	0.778968423213381
otu_14	otu_881	0.775255028159606
otu_190	otu_204	0.772773275734397
otu_650	otu_748	0.770976669796784
otu_346	otu_643	0.770297031350885
otu_565	otu_678	0.761783002664737
otu_329	otu_68	0.760099840367777
otu_628	otu_714	0.760039037453296
otu_512	otu_773	0.754347920377099
otu_447	otu_454	0.754098991040984
otu_224	otu_311	0.726348070571174
otu_701	otu_84	0.719805612449188
otu_230	otu_573	0.71403124658598
otu_172	otu_193	0.713799930530672
otu_157	otu_885	0.713310852858691
otu_100	otu_45	0.702274298054895
otu_148	otu_659	0.697261565602521
otu_317	otu_356	0.690411327302635
otu_383	otu_661	0.68907805621386
otu_430	otu_744	0.684671604243618
otu_227	otu_343	0.684017125253422
otu_636	otu_753	0.673950939438679
otu_608	otu_91	0.6692990424674
otu_386	otu_409	0.664323043457721
otu_777	otu_794	0.664151959366887
otu_353	otu_592	0.653854524665679
otu_175	otu_701	0.650135954919194
otu_519	otu_566	0.644970681139549
otu_215	otu_430	0.643739372112909
otu_208	otu_510	0.641509240601652
otu_174	otu_272	0.635608062460863
otu_280	otu_830	0.630821526616138
otu_125	otu_270	0.6304230524673
otu_288	otu_402	0.62677266303426
otu_538	otu_90	0.624376709165599
otu_519	otu_691	0.621342825447128
otu_44	otu_841	0.616013997532633
otu_148	otu_265	0.614767592883515
otu_460	otu_53	0.609340260828065
otu_10	otu_327	0.608902632101205
otu_320	otu_561	0.604926532947019
otu_541	otu_545	0.60373177598062
otu_295	otu_487	0.599037564838062
otu_479	otu_741	0.598523934335614
otu_292	otu_397	0.588779334130522
otu_559	otu_830	0.586270873923643
otu_295	otu_435	0.585861350691826
otu_592	otu_95	0.582064903643474
otu_497	otu_72	0.581971314387579
otu_682	otu_900	0.581844797579336
otu_232	otu_250	0.581669135150975
otu_100	otu_545	0.581189148751803
otu_71	otu_891	0.579999662141524
otu_287	otu_45	0.578977922304058
otu_245	otu_32	0.577195186966405
otu_670	otu_90	0.576725677759283
otu_519	otu_523	0.57556566190443
otu_237	otu_539	0.571674018569411
otu_432	otu_885	0.565326760318702
otu_691	otu_899	0.563991093585964
otu_661	otu_816	0.560799354618337
otu_775	otu_782	0.55997972743853
otu_305	otu_805	0.555378369853596
otu_439	otu_550	0.551838936396647
otu_329	otu_415	0.548249590813304
otu_124	otu_206	0.546808644720399
otu_29	otu_444	0.546463634750351
otu_319	otu_53	0.543045684493504
otu_350	otu_759	0.541568383849531
otu_383	otu_743	0.538981576948303
otu_125	otu_677	0.537520370989628
otu_447	otu_868	0.537502421643
otu_611	otu_645	0.529845362515196
otu_302	otu_432	0.529227957485872
otu_160	otu_430	0.528513662809152
otu_157	otu_418	0.525961177627611
otu_168	otu_192	0.521705581054325
otu_201	otu_885	0.52133002652123
otu_115	otu_306	0.520610546017942
otu_149	otu_285	0.517053241250306
otu_116	otu_66	0.514264555588407
otu_625	otu_728	0.510976352188349
otu_410	otu_46	0.508705688595853
otu_142	otu_625	0.506860289645123
otu_655	otu_745	0.504118523681793
otu_275	otu_588	0.503485374283229
otu_387	otu_499	0.500597073933735
otu_31	otu_727	0.500533195256276
otu_588	otu_79	0.500341818541894
